Dates / التواريخ,Cases / الحالات,Recovered / تعافى,Deaths / الوفيات
03/02/2020,1,0,0
03/05/2020,2,0,0
03/10/2020,2,0,1
03/11/2020,6,0,1
        03/13/2020,8,1,1
        03/14/2020,18,1,1
        03/15/2020,29,1,1
        03/16/2020,38,1,2
       03/17/2020,44,1,2
        03/18/2020,54,1,2
        03/19/2020,63,2,2
        03/20/2020,79,2,3
        03/21/2020,96,3,3
        03/22/2020,115,3,4
        03/23/2020,143,5,4
        03/24/2020,170,6,5
       03/25/2020,225,7,6
        03/26/2020,275,8,10
        03/27/2020,345,11,23
        03/28/2020,402,12,25
        03/29/2020,479,13,26
        03/30/2020,556,15,33
       03/31/2020 ,617,24,36
04/01/2020,654,29,39
04/02/2020,708,31,44
04/03/2020,791,57,48
04/04/2020,919,66,59
04/05/2020,1021,76,70
04/06/2020,1120,81,80
04/07/2020,1184,93,90
04/08/2020,1275,97,93
04/09/2020,1374,109,97
04/10/2020,1448,122,107
04/11/2020,1545,145,111
04/12/2020,1661,177,118
        04/13/2020,1763,203,126
        04/14/2020,1888,217,126
        04/15/2020,2024,229,127
        04/16/2020,2283,249,130
        04/17/2020,2564,281,135
        04/18/2020,2685,314,137
       04/19/2020,2855,327,141
        04/20/2020,3046,350,143
        04/21/2020,3209,393,145
        04/22/2020,3446,417,149
        04/23/2020,3568,456,155
        04/24/2020,3758,486,158
        04/25/2020,3897,537,159
        04/26/2020,4065,593,161
        04/27/2020,4120,695,162
        04/28/2020,4252,778,165
        04/29/2020,4289,928,168
        04/30/2020,4423,984,170
05/01/2020,4569,1083,171
05/02/2020,4729,1256,173
05/03/2020,4903,1438,174
05/04/2020,5053,1653,179
05/05/2020,5219,1838,181
05/06/2020,5408,2017,183
05/07/2020,5548,2179,183
05/08/2020,5711,2324,186
05/09/2020,5910,2461,186
05/10/2020,6063,2554,188
05/11/2020,6281,2811,188
05/12/2020,6418,2991,188
        05/13/2020,6512,3131,188
        05/14/2020,6607,3310,190
        05/15/2020,6652,3400,190
        05/16/2020,6741,3487,192
        05/17/2020,6870,3660,192
        05/18/2020,6952,3758,192
        05/19/2020,7023,3901,193
        05/20/2020,7133,4098,194
        05/21/2020,7211,4280,196
        05/22/2020,7332,4377,197
       05/23/2020,7406,4638,198
        05/24/2020,7433,4703,199
        05/25/2020,7532,4774,200
        05/26/2020,7577,4881,202
        05/27/2020,7601,4978,202
        05/28/2020,7643,5195,202
        05/29/2020,7714,5271,202
        05/30/2020,7780,5401,204
        05/31/2020,7807,5459,205
06/01/2020,7833,5893,205
01/02/2020,7866,6410,206
